ID,Win,NickName,Champion,item
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,도란의 방패 충전형 물약 삼위일체 0 0 약간 신비한 신발
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 스테락의 도전 헤르메스의 발걸음 도란의 방패 수호 천사
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,피의 노래 갈라진 하늘 0 신속의 장화 톱날 단검 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,티아맷 충전형 물약 삼위일체 장화 흡혈의 낫 도란의 검
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 죽음의 무도 헤르메스의 발걸음 B.F. 대검 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Alistar,천상의 이의 제어 와드 강철의 솔라리 펜던트 판금 장화 0 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 충전형 물약 삼위일체 장화 도란의 방패 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Sion,공허한 광휘 끝없는 절망 덤불 조끼 해신 작쇼 루비 수정 헤르메스의 발걸음
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,도란의 검 충전형 물약 삼위일체 장화 롱소드 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 장화 콜필드의 전투 망치 강철 인장
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,천상의 이의 갈라진 하늘 0 0 0 하나 된 영혼
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 장화 도란의 검 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,티아맷 도란의 방패 0 헤르메스의 발걸음 롱소드 삼위일체
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 충전형 물약 천 갑옷 장화 삼위일체 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 충전형 물약 제어 와드 장화 삼위일체 도란의 방패
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 곡괭이 땅굴 채굴기 도란의 방패 헤르메스의 발걸음
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 충전형 물약 콜필드의 전투 망치 헤르메스의 발걸음 삼위일체 곡괭이
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 수호 천사 판금 장화 죽음의 무도 파수꾼의 갑옷
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 0 0 도란의 방패 삼위일체 약간 신비한 신발
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Kennen,마법공학 로켓 벨트 마법공학 교류 발전기 에테르 환영 마법사의 신발 도란의 검 암흑의 인장
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 장화 0 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,천상의 이의 하나 된 영혼 0 갈라진 하늘 롱소드 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 수호 천사 헤르메스의 발걸음 죽음의 무도
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 롱소드 도란의 방패 판금 장화 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,삼위일체 충전형 물약 0 도란의 방패 0 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 헤르메스의 발걸음 도란의 방패 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 장화 콜필드의 전투 망치 곡괭이
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 죽음의 무도 0 판금 장화 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,티아맷 흡혈의 낫 도란의 방패 헤르메스의 발걸음 삼위일체 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Gragas,영겁의 지팡이 대천사의 포옹 추적자의 팔목 보호대 우주의 추진력 명석함의 아이오니아 장화 모렐로노미콘
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 헤르메스의 발걸음 콜필드의 전투 망치 강철 인장
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 헤르메스의 발걸음 도란의 방패 수호 천사 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,천상의 이의 갈라진 하늘 콜필드의 전투 망치 톱날 단검 제어 와드 하나 된 영혼
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,삼위일체 약간 신비한 신발 제어 와드 0 도란의 방패 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,천상의 이의 갈라진 하늘 제어 와드 롱소드 0 하나 된 영혼
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,천상의 이의 갈라진 하늘 제어 와드 그림자 검 하나 된 영혼 점화석
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 죽음의 무도 B.F. 대검 헤르메스의 발걸음
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 죽음의 무도 강철 인장 B.F. 대검 헤르메스의 발걸음
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Kennen,마법공학 로켓 벨트 충전형 물약 제어 와드 마법사의 신발 도란의 검 마법공학 교류 발전기
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 콜필드의 전투 망치 도란의 검 판금 장화
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Kennen,마법공학 로켓 벨트 마법공학 교류 발전기 제어 와드 암흑의 인장 도란의 검 마법사의 신발
