ID,WinRate_Sorted_Champions,PickRate_Sorted_Champions
0HX1feXawI4jBd_9sxrXXX5L5_Yb30lMXTOBLRsoIC3RiK0-hK3mwPcUQQ,"['Janna', 'Soraka', 'Leona', 'Senna', 'Sona']","['Janna', 'Sona', 'Senna']"
0Hxn_Lr-AwoFddHPUsgygZ_3Vk7wI77LBwzKOERMteWDFm8,['Senna'],['Senna']
0JFlsIKDoNGAaAV2FN0g26IrrM-cNGj1gTBpn9us2UJUyyWoZBceB0Ig_g,"['Vex', 'Orianna', 'Galio']","['Galio', 'Vex', 'Orianna']"
0L28g7DNcp13w_PQ6Hk7XEswuVXxgFq-1z4a7zDc3BR-K3hoqljE0wCZpw,['Zac'],['Zac']
0LZGoNGq8jNuq6NLGacMmp6QI8IXmrhMmv-9uIXydqFo4Sw,"['Samira', 'Kalista', 'Jhin']","['Kalista', 'Ezreal', 'Jhin', 'Zeri']"
0LcQ6lDMuOLRG6eYLbjtzDFjJkDIUZCmwPzcHtLPSrneFm-Oer0AbH1bVg,"['Zeri', 'Rell', 'Draven']","['Draven', 'Jhin', 'Rell']"
0LxmulN2IDZcetqhp_dVN2TzBmgyz7pcql0pQxKxYJ4YJ4Q,"['Volibear', 'Vayne', 'Nasus', 'Renekton']","['Nasus', 'Volibear']"
0N08AOanLtE5lWY8fEdV6YCFlMiEGbXRs8DgUwL3K-31bWmE,"['Ashe', 'Jhin']","['Jhin', 'Ashe']"
0Oz9ytXpNG1yOZ73eXXqjuiLCAyG5inKLgE5H-1D_cFruDivcxPWYue9eQ,"['Karma', 'Nautilus', 'Milio']","['Rakan', 'Thresh', 'Karma']"
0P0drG8aItWbQBq64g7P5Zk5JP-6JrLY-2MFWYgCkegPBO13yvAnClWWZA,"['Taliyah', 'Syndra']","['Azir', 'Yone', 'Syndra']"
0P0zHRSRZ3f9lpVWrmj-RwOlAN8wUPpc8oxP9hE1eOcEwCE,"['Camille', 'Gangplank']","['Gangplank', 'Camille']"
0PzHC4d2fVPdz2OQRSEvsOgT-OKp95zJP1vZefUF0AMDNh_m,['Sylas'],['Sylas']
